"Edicao (PTBR)","Edicao (EN)","Edicao (Sigla)","Card (PT)","Card (EN)",Quantidade,"Qualidade (M NM SP MP HP D)","Idioma (BR EN DE ES FR IT JP KO RU TW)","Raridade (M R U C)","Cor (W U B R G M A L)",Extras,"Card #",Comentario
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,"Mordida de Gollum","Gollum's Bite",1,NM,PTEN,U,B,,85,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,"Muitas Despedidas","Many Partings",1,NM,PTEN,C,G,,176,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,"Nascer do Dia","Rising of the Day",1,NM,PTEN,U,R,,145,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,"Navegador dos Portos Cinzentos","Grey Havens Navigator",1,NM,PTEN,C,U,,53,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,,Nazgul,1,NM,PTEN,U,B,,100,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,,"Nazgul (#332)",1,NM,PTEN,U,B,,332,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,,"Nazgul (#333)",1,NM,PTEN,U,B,,333,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,,"Nazgul (#334)",1,NM,PTEN,U,B,,334,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,,"Nazgul (#335)",1,NM,PTEN,U,B,,335,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,,"Nazgul (#336)",1,NM,PTEN,U,B,,336,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,,"Nazgul (#337)",1,NM,PTEN,U,B,,337,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,,"Nazgul (#338)",1,NM,PTEN,U,B,,338,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,,"Nazgul (#339)",1,NM,PTEN,U,B,,339,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,"Nevoeiro nas Colinas dos Tumulos","Fog on the Barrow-Downs",1,NM,PTEN,C,W,,16,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,"Nos de Hithlain","Hithlain Knots",1,NM,PTEN,C,U,,54,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,"O Anel Vai para o Sul","The Ring Goes South",1,NM,PTEN,R,G,,186,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,"O Balrog, Chama de Udun","The Balrog, Flame of Udun",1,NM,PTEN,R,M,,297,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,"O Balrog, Ruina de Durin","The Balrog, Durin's Bane",1,NM,PTEN,R,M,,195,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,"O Boca de Sauron","The Mouth of Sauron",1,NM,PTEN,U,M,,216,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,"O Condado","The Shire",1,NM,PTEN,R,L,,260,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,"O Halito Negro","The Black Breath",1,NM,PTEN,C,B,,78,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,"O Tormento de Gollum","The Torment of Gollum",1,NM,PTEN,C,B,,110,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,"O Um Anel","The One Ring",1,NM,PTEN,M,C,,246,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,"O Vigia na Agua","The Watcher in the Water",1,NM,PTEN,M,U,,75,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,Olifante,Oliphaunt,1,NM,PTEN,C,R,,139,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,"Os Portos Cinzentos","The Grey Havens",1,NM,PTEN,U,L,,255,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,"Palantir de Orthanc","Palantir of Orthanc",1,NM,PTEN,M,C,,247,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,"Pantano (#266)","Swamp (#266)",1,NM,PTEN,C,L,,266,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,"Pantano (#267)","Swamp (#267)",1,NM,PTEN,C,L,,267,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,"Pantano (#276)","Swamp (#276)",1,NM,PTEN,C,L,,276,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,"Pantano (#277)","Swamp (#277)",1,NM,PTEN,C,L,,277,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,"Pantano (#717)","Swamp (#717)",1,NM,PTEN,C,L,,717,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,"Pantano (#718)","Swamp (#718)",1,NM,PTEN,C,L,,718,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,"Passolargo, Caminheiro do Norte","Strider, Ranger of the North",1,NM,PTEN,U,M,,232,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,"Patrulha de Cirith Ungol","Cirith Ungol Patrol",1,NM,PTEN,C,B,,80,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,"Pedra de Erech","Stone of Erech",1,NM,PTEN,U,C,,251,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,"Pequenina Deliciada","Delighted Halfling",1,NM,PTEN,R,G,,158,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,"Perdido para as Lendas","Lost to Legend",1,NM,PTEN,U,W,,22,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,"Peregrin Tuk","Peregrin Took",1,NM,PTEN,U,G,,181,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,"Pergaminho de Isildur","Scroll of Isildur",1,NM,PTEN,R,U,,69,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,"Pippin, Guarda da Cidadela","Pippin, Guard of the Citadel",1,NM,PTEN,R,M,,218,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,"Planicie (#262)","Plains (#262)",1,NM,PTEN,C,L,,262,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,"Planicie (#263)","Plains (#263)",1,NM,PTEN,C,L,,263,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,"Planicie (#272)","Plains (#272)",1,NM,PTEN,C,L,,272,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,"Planicie (#273)","Plains (#273)",1,NM,PTEN,C,L,,273,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,"Planicie (#713)","Plains (#713)",1,NM,PTEN,C,L,,713,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,"Planicie (#714)","Plains (#714)",1,NM,PTEN,C,L,,714,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,"Porrete Improvisado","Improvised Club",1,NM,PTEN,C,R,,137,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,"Portas de Durin","Doors of Durin",1,NM,PTEN,R,M,,199,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,"Pressionar o Inimigo","Press the Enemy",1,NM,PTEN,R,U,,65,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,"Principe Imrahil, o Belo","Prince Imrahil the Fair",1,NM,PTEN,U,M,,219,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,"Protetor de Gondor","Protector of Gondor",1,NM,PTEN,C,W,,25,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,"Queda Amarga","Bitter Downfall",1,NM,PTEN,U,B,,77,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,"Queda de Cair Andros","Fall of Cair Andros",1,NM,PTEN,R,R,,124,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,"Queda de Gil-galad","Fall of Gil-galad",1,NM,PTEN,R,G,,165,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,"Radagast, o Marrom","Radagast the Brown",1,NM,PTEN,M,G,,184,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,"Reagrupar no Forte da Trombeta","Rally at the Hornburg",1,NM,PTEN,C,R,,142,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,Reforjar,"Forge Anew",1,NM,PTEN,R,W,,17,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,"Rei dos Perjuros","King of the Oathbreakers",1,NM,PTEN,R,M,,211,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,"Rei-bruxo de Angmar","Witch-King of Angmar",1,NM,PTEN,M,B,,114,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,"Rei-bruxo, Arauto da Ruina","Witch-king, Bringer of Ruin",1,NM,PTEN,R,B,,293,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,"Reivindicar o Precioso","Claim the Precious",1,NM,PTEN,C,B,,81,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,"Remedio dos Orcs","Orcish Medicine",1,NM,PTEN,C,B,,104,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,"Repreensao Austera","Stern Scolding",1,NM,PTEN,U,U,,71,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,"Resgate de Sauron","Sauron's Ransom",1,NM,PTEN,R,M,,225,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,"Resgate Desesperado de Sam","Sam's Desperate Rescue",1,NM,PTEN,C,B,,105,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,"Restauracao Entica","Entish Restoration",1,NM,PTEN,U,G,,163,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,"Revitalizar o Condado","Revive the Shire",1,NM,PTEN,C,G,,185,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,,"Riders of the Mark",1,NM,PTEN,R,S,,827,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,"Rivalidade Amigavel","Friendly Rivalry",1,NM,PTEN,U,M,,204,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,"Rohirrim Incansavel","Relentless Rohirrim",1,NM,PTEN,C,R,,144,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,"Rosa Villa da Alameda Sul","Rosie Cotton of South Lane",1,NM,PTEN,U,W,,27,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,"Salta-fogo Goblin","Goblin Fireleaper",1,NM,PTEN,U,R,,133,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,"Samwise Gamgi","Samwise Gamgee",1,NM,PTEN,R,M,,222,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,"Samwise, o Destemido","Samwise the Stouthearted",1,NM,PTEN,U,W,,28,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,"Sancao de Gandalf","Gandalf's Sanction",1,NM,PTEN,U,M,,208,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,"Saqueador de Moria","Moria Marauder",1,NM,PTEN,R,R,,138,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,"Saradoc, Mestre da Terra dos Buques","Saradoc, Master of Buckland",1,NM,PTEN,R,W,,282,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,"Saruman das Muitas Cores","Saruman of Many Colors",1,NM,PTEN,M,M,,223,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,"Saruman, o Branco","Saruman the White",1,NM,PTEN,U,U,,67,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,"Sauron, o Necromante","Sauron, the Necromancer",1,NM,PTEN,R,B,,106,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,"Sauron, O Olho Sem Palpebra","Sauron, the Lidless Eye",1,NM,PTEN,M,M,,288,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,"Sauron, o Senhor Sombrio","Sauron, the Dark Lord",1,NM,PTEN,M,M,,224,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,"Scadufax, Senhor dos Cavalos","Shadowfax, Lord of Horses",1,NM,PTEN,U,M,,227,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,"Segundo Cafe da Manha","Second Breakfast",1,NM,PTEN,C,W,,29,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,"Separacao da Sociedade","Breaking of the Fellowship",1,NM,PTEN,C,R,,117,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,"Shagrat, Carregador de Espolios","Shagrat, Loot Bearer",1,NM,PTEN,R,M,,228,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,"Smeagol, Guia Solicito","Smeagol, Helpful Guide",1,NM,PTEN,R,M,,231,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,"Sobrevivente de Pelargir","Pelargir Survivor",1,NM,PTEN,C,U,,64,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,"Soldado da Hoste Cinzenta","Soldier of the Grey Host",1,NM,PTEN,C,W,,32,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,"Sombra do Inimigo","Shadow of the Enemy",1,NM,PTEN,M,B,,107,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,"Tempestade de Saruman","Storm of Saruman",1,NM,PTEN,M,U,,72,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,"Terraco do Condado","Shire Terrace",1,NM,PTEN,C,L,,261,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,"Theoden, Rei de Rohan","Theoden, King of Rohan",1,NM,PTEN,U,M,,233,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,"Ticao do Caminheiro","Ranger's Firebrand",1,NM,PTEN,U,R,,143,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,"Tom Bombadil","Tom Bombadil",1,NM,PTEN,M,M,,234,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,"Trabuco de Mordor","Mordor Trebuchet",1,NM,PTEN,C,B,,97,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,"Traicao de Isengard","Treason of Isengard",1,NM,PTEN,C,U,,74,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,"Trilheira Wose","Wose Pathfinder",1,NM,PTEN,C,G,,190,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,"Trol de Khazad-dum","Troll of Khazad-dum",1,NM,PTEN,C,B,,111,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,"Trombeta da Marca","Horn of the Mark",1,NM,PTEN,R,C,,241,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,"Trombeta de Gondor","Horn of Gondor",1,NM,PTEN,R,C,,240,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,"Tronquesperto, Jovem Ent","Quickbeam, Upstart Ent",1,NM,PTEN,U,G,,183,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,"Ugluk da Mao Branca","Ugluk of the White Hand",1,NM,PTEN,U,M,,235,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,"Ultima Marcha dos Ents","Last March of the Ents",1,NM,PTEN,M,G,,172,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,"Um Anel Para Todos Governar","One Ring to Rule Them All",1,NM,PTEN,R,B,,102,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,Valfenda,Rivendell,1,NM,PTEN,R,L,,259,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,"Vanguarda dos Lestenses","Easterling Vanguard",1,NM,PTEN,C,B,,83,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,"Velho Salgueiro-homem","Old Man Willow",1,NM,PTEN,U,M,,217,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,"Vendaval Glorioso","Glorious Gale",1,NM,PTEN,C,U,,51,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,"Vento do Salgueiro",Willow-Wind,1,NM,PTEN,C,U,,76,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,"Vigia do Nimrodel","Nimrodel Watcher",1,NM,PTEN,C,U,,63,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,"Visao do Anel",Ringsight,1,NM,PTEN,U,M,,220,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,"Visao Longinqua Elfica","Elven Farsight",1,NM,PTEN,C,G,,161,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,"Voce Nao Pode Passar!","You Cannot Pass!",1,NM,PTEN,U,W,,38,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,,"Warg Rider",1,NM,PTEN,R,S,,826,
"O Senhor dos Anéis: Contos da Terra Média","Lord of the Rings: Tales of Middle-Earth",ltr,"Warg Rosnador","Snarling Warg",1,NM,PTEN,C,B,,109,
"O Senhor dos Anéis: Contos da Terra Média (Borderless Lands Surge Foil)","Lord of the Rings: Tales of Middle-Earth (Borderless Lands Surge Foil)",lsltr,,Barad-dur,1,NM,PTEN,R,L,,751,
"O Senhor dos Anéis: Contos da Terra Média (Borderless Lands Surge Foil)","Lord of the Rings: Tales of Middle-Earth (Borderless Lands Surge Foil)",lsltr,"Minas de Moria","Mines of Moria",1,NM,PTEN,R,L,,753,
"O Senhor dos Anéis: Contos da Terra Média (Borderless Lands Surge Foil)","Lord of the Rings: Tales of Middle-Earth (Borderless Lands Surge Foil)",lsltr,"Minas Tirith","Minas Tirith",1,NM,PTEN,R,L,,752,
"O Senhor dos Anéis: Contos da Terra Média (Borderless Lands Surge Foil)","Lord of the Rings: Tales of Middle-Earth (Borderless Lands Surge Foil)",lsltr,"Monte da Perdicao","Mount Doom",1,NM,PTEN,M,L,,754,
"O Senhor dos Anéis: Contos da Terra Média (Borderless Lands Surge Foil)","Lord of the Rings: Tales of Middle-Earth (Borderless Lands Surge Foil)",lsltr,"O Condado","The Shire",1,NM,PTEN,R,L,,756,
"O Senhor dos Anéis: Contos da Terra Média (Borderless Lands Surge Foil)","Lord of the Rings: Tales of Middle-Earth (Borderless Lands Surge Foil)",lsltr,Valfenda,Rivendell,1,NM,PTEN,R,L,,755,
"O Senhor dos Anéis: Contos da Terra Média (Borderless Lands)","Lord of the Rings: Tales of Middle-Earth (Borderless Lands)",blltr,,Barad-dur,1,NM,PTEN,R,L,,340,
"O Senhor dos Anéis: Contos da Terra Média (Borderless Lands)","Lord of the Rings: Tales of Middle-Earth (Borderless Lands)",blltr,"Minas de Moria","Mines of Moria",1,NM,PTEN,R,L,,342,
"O Senhor dos Anéis: Contos da Terra Média (Borderless Lands)","Lord of the Rings: Tales of Middle-Earth (Borderless Lands)",blltr,"Minas Tirith","Minas Tirith",1,NM,PTEN,R,L,,341,
"O Senhor dos Anéis: Contos da Terra Média (Borderless Lands)","Lord of the Rings: Tales of Middle-Earth (Borderless Lands)",blltr,"Monte da Perdicao","Mount Doom",1,NM,PTEN,M,L,,343,
"O Senhor dos Anéis: Contos da Terra Média (Borderless Lands)","Lord of the Rings: Tales of Middle-Earth (Borderless Lands)",blltr,"O Condado","The Shire",1,NM,PTEN,R,L,,345,
"O Senhor dos Anéis: Contos da Terra Média (Borderless Lands)","Lord of the Rings: Tales of Middle-Earth (Borderless Lands)",blltr,Valfenda,Rivendell,1,NM,PTEN,R,L,,344,
"O Senhor dos Anéis: Contos da Terra Média (Borderless Scene)","Lord of the Rings: Tales of Middle-Earth (Borderless Scene)",bltr,"Acoite do Balrog","Lash of the Balrog",1,NM,PTEN,C,B,,408,
"O Senhor dos Anéis: Contos da Terra Média (Borderless Scene)","Lord of the Rings: Tales of Middle-Earth (Borderless Scene)",bltr,"Aragorn, Lider da Sociedade","Aragorn, Company Leader",1,NM,PTEN,R,M,,410,
"O Senhor dos Anéis: Contos da Terra Média (Borderless Scene)","Lord of the Rings: Tales of Middle-Earth (Borderless Scene)",bltr,"Aragorn, o Unificador","Aragorn, the Uniter",1,NM,PTEN,M,M,,434,
"O Senhor dos Anéis: Contos da Terra Média (Borderless Scene)","Lord of the Rings: Tales of Middle-Earth (Borderless Scene)",bltr,"Bandidagem Descarada","Spiteful Banditry",1,NM,PTEN,M,R,,439,
"O Senhor dos Anéis: Contos da Terra Média (Borderless Scene)","Lord of the Rings: Tales of Middle-Earth (Borderless Scene)",bltr,,Barad-dur,1,NM,PTEN,R,L,,425,
"O Senhor dos Anéis: Contos da Terra Média (Borderless Scene)","Lord of the Rings: Tales of Middle-Earth (Borderless Scene)",bltr,"Boromir, Guardiao da Torre","Boromir, Warden of the Tower",1,NM,PTEN,R,W,,407,
"O Senhor dos Anéis: Contos da Terra Média (Borderless Scene)","Lord of the Rings: Tales of Middle-Earth (Borderless Scene)",bltr,"Bravura de Pippin","Pippin's Bravery",1,NM,PTEN,C,G,,414,
"O Senhor dos Anéis: Contos da Terra Média (Borderless Scene)","Lord of the Rings: Tales of Middle-Earth (Borderless Scene)",bltr,"Cavaleiros de Dol Amroth","Knights of Dol Amroth",1,NM,PTEN,C,U,,432,
"O Senhor dos Anéis: Contos da Terra Média (Borderless Scene)","Lord of the Rings: Tales of Middle-Earth (Borderless Scene)",bltr,"Chama de Anor","Flame of Anor",1,NM,PTEN,R,M,,406,
"O Senhor dos Anéis: Contos da Terra Média (Borderless Scene)","Lord of the Rings: Tales of Middle-Earth (Borderless Scene)",bltr,"Chamado da Ilha Perdida","Lost Isle Calling",1,NM,PTEN,R,U,,444,
"O Senhor dos Anéis: Contos da Terra Média (Borderless Scene)","Lord of the Rings: Tales of Middle-Earth (Borderless Scene)",bltr,"Condestavel do Condado","Shire Shirriff",1,NM,PTEN,U,W,,441,
"O Senhor dos Anéis: Contos da Terra Média (Borderless Scene)","Lord of the Rings: Tales of Middle-Earth (Borderless Scene)",bltr,"Crebain da Terra Parda","Dunland Crebain",1,NM,PTEN,C,B,,411,
"O Senhor dos Anéis: Contos da Terra Média (Borderless Scene)","Lord of the Rings: Tales of Middle-Earth (Borderless Scene)",bltr,"Elrond, Mestre da Cura","Elrond, Master of Healing",1,NM,PTEN,R,M,,447,
"O Senhor dos Anéis: Contos da Terra Média (Borderless Scene)","Lord of the Rings: Tales of Middle-Earth (Borderless Scene)",bltr,"Eomer, Marechal de Rohan","Eomer, Marshal of Rohan",1,NM,PTEN,R,R,,428,
"O Senhor dos Anéis: Contos da Terra Média (Borderless Scene)","Lord of the Rings: Tales of Middle-Earth (Borderless Scene)",bltr,"Eowyn, Cavaleira Destemida","Eowyn, Fearless Knight",1,NM,PTEN,R,M,,430,
"O Senhor dos Anéis: Contos da Terra Média (Borderless Scene)","Lord of the Rings: Tales of Middle-Earth (Borderless Scene)",bltr,"Fangorn, Pastor das Arvores","Fangorn, Tree Shepherd",1,NM,PTEN,R,G,,415,
"O Senhor dos Anéis: Contos da Terra Média (Borderless Scene)","Lord of the Rings: Tales of Middle-Earth (Borderless Scene)",bltr,"Fera Atroz Voraz","Voracious Fell Beast",1,NM,PTEN,U,B,,422,
"O Senhor dos Anéis: Contos da Terra Média (Borderless Scene)","Lord of the Rings: Tales of Middle-Earth (Borderless Scene)",bltr,"Ferroada, o Punhal Reluzente","Sting, the Glinting Dagger",1,NM,PTEN,R,C,,409,
"O Senhor dos Anéis: Contos da Terra Média (Borderless Scene)","Lord of the Rings: Tales of Middle-Earth (Borderless Scene)",bltr,"Fim Terrivel","Nasty End",1,NM,PTEN,C,B,,416,
"O Senhor dos Anéis: Contos da Terra Média (Borderless Scene)","Lord of the Rings: Tales of Middle-Earth (Borderless Scene)",bltr,"Galadriel de Lothlorien","Galadriel of Lothlorien",1,NM,PTEN,R,M,,446,
"O Senhor dos Anéis: Contos da Terra Média (Borderless Scene)","Lord of the Rings: Tales of Middle-Earth (Borderless Scene)",bltr,"Gandalf, o Branco","Gandalf the White",1,NM,PTEN,M,W,,442,
